db,difficulty,combo,combo_desc,eer_pct,genuine_avg,imposter_avg,avg_keypoints,avg_inliers_genuine
DB1_B,average,C1,Gaussian + CLAHE,16.67,143.19,5.47,2304.7,143.2
DB1_B,average,C2,Bilateral + CLAHE,16.43,132.23,5.07,2124.4,132.2
DB1_B,average,C3,Median + HistEq,25.79,82.11,6.24,2072.8,82.1
DB1_B,average,C1+G,Gaussian + CLAHE + Gabor,16.35,51.07,3.64,987.3,51.1
DB1_B,average,C2+G,Bilateral + CLAHE + Gabor,25.48,49.76,4.56,964.2,49.8
DB1_B,average,C3+G,Median + HistEq + Gabor,13.81,34.46,4.36,906.9,34.5
DB2_B,easy,C1,Gaussian + CLAHE,6.19,156.34,4.78,2738.2,156.3
DB2_B,easy,C2,Bilateral + CLAHE,6.19,142.21,4.64,2405.5,142.2
DB2_B,easy,C3,Median + HistEq,2.86,136.23,4.76,2614.3,136.2
DB2_B,easy,C1+G,Gaussian + CLAHE + Gabor,11.27,71.13,5.07,1264.2,71.1
DB2_B,easy,C2+G,Bilateral + CLAHE + Gabor,11.19,68.4,4.8,1224.9,68.4
DB2_B,easy,C3+G,Median + HistEq + Gabor,6.51,57.46,4.62,1196.1,57.5
DB3_B,hard,C1,Gaussian + CLAHE,32.54,19.93,5.13,1968.4,19.9
DB3_B,hard,C2,Bilateral + CLAHE,31.43,15.61,4.04,1632.3,15.6
DB3_B,hard,C3,Median + HistEq,45.63,9.87,4.29,1609.5,9.9
DB3_B,hard,C1+G,Gaussian + CLAHE + Gabor,38.65,11.09,4.58,682.4,11.1
DB3_B,hard,C2+G,Bilateral + CLAHE + Gabor,36.19,9.64,3.53,664.3,9.6
DB3_B,hard,C3+G,Median + HistEq + Gabor,45.0,6.59,4.22,628.3,6.6
DB4_B,synthetic/worst,C1,Gaussian + CLAHE,48.25,4.79,4.73,2549.8,4.8
DB4_B,synthetic/worst,C2,Bilateral + CLAHE,46.19,4.49,4.44,2281.3,4.5
DB4_B,synthetic/worst,C3,Median + HistEq,51.51,4.79,4.04,2254.3,4.8
DB4_B,synthetic/worst,C1+G,Gaussian + CLAHE + Gabor,51.27,3.81,3.49,1155.4,3.8
DB4_B,synthetic/worst,C2+G,Bilateral + CLAHE + Gabor,45.08,3.91,3.91,1100.6,3.9
DB4_B,synthetic/worst,C3+G,Median + HistEq + Gabor,49.05,3.83,3.0,935.5,3.8
