db,difficulty,algo,threshold,rank1_acc_pct,identification_rate_pct,n_queries,ident_latency_ms_per_query
DB1_B,average,SIFT,13,80.0,72.9,70,585.04
DB1_B,average,ORB,10,70.0,51.4,70,186.07
DB1_B,average,LBP,50,24.3,1.4,70,27.92
DB1_B,average,Minutiae,10,72.9,42.9,70,117.65
DB2_B,easy,SIFT,13,91.4,88.6,70,631.89
DB2_B,easy,ORB,10,85.7,60.0,70,210.66
DB2_B,easy,LBP,50,45.7,0.0,70,26.42
DB2_B,easy,Minutiae,10,78.6,74.3,70,234.06
DB3_B,hard,SIFT,13,54.3,32.9,70,342.03
DB3_B,hard,ORB,10,44.3,21.4,70,150.0
DB3_B,hard,LBP,50,50.0,0.0,70,26.27
DB3_B,hard,Minutiae,10,57.1,42.9,70,139.63
DB4_B,synthetic/worst,SIFT,13,17.1,1.4,70,576.42
DB4_B,synthetic/worst,ORB,10,15.7,0.0,70,123.83
DB4_B,synthetic/worst,LBP,50,21.4,0.0,70,37.96
DB4_B,synthetic/worst,Minutiae,10,20.0,14.3,70,162.96
